Country in English,Country in Spanish,Demonym*/Adjective,spa_m,spa_n
Suriname,Surinam,surinamés/-sa,surinamés,
Swaziland,Suazilandia,suazi,,suazi
Sweden,Suecia,sueco/-ca,sueco,
Switzerland,Suiza,suizo/-za,suizo,
Syria,República Árabe Siria/Siria,sirio/-ria,sirio,
São Tomé and Príncipe,Santo Tomé y Príncipe,santotomense,,santotomense
Taiwan,Taiwán,taiwanés/-sa,taiwanés,
Tajikistan,Tayikistán,tayiko/-ka,tayiko,
Tanzania,Tanzania,tanzano/-a,tanzano,
Thailand,Tailandia,tailandés/-sa,tailandés,
The Gambia,Gambia,gambiano/-na,gambiano,
TImor-Leste,Timor Oriental,timorense,,timorense
Togo,Togo,togolés/-sa,togolés,
Tonga,Tonga,tongano/-na,tongano,
Trinidad and Tobago,Trinidad y Tobago,trinitense,,trinitense
Tunisia,Túnez,tunecino/-na,tunecino,
"Turkey, Türkiye",Turquía,turco/-ca,turco,
Turkmenistan,Turkmenistán,turcomano/-na,turcomano,
Tuvalu,Tuvalu,tuvaluano/-na,tuvaluano,
Uganda,Uganda,ugandés/-sa,ugandés,
Ukraine,Ucrania,ucraniano/-na,ucraniano,
United Arab Emirates (UAE),Emiratos Árabes Unidos (EAU),emiratí,,emiratí
United Kingdom of Great Britain and Northern Ireland,Reino Unido de Gran Bretaña e Irlanda del Norte,británico/-a,británico,
United Republic of Tanzania,República Unida de Tanzania,tanzano/-na,tanzano,
United States of America (USA),Estados Unidos de América (EEUU),estadounidense,,estadounidense
Uruguay,Uruguay,uruguayo/-ya oriental,uruguayo,
Uzbekistan,Uzbekistán,uzbeko/-ka,uzbeko,
Vanuatu,Vanuatu,vanuatuense,,vanuatuense
Venezuela,"Venezuela, (República Bolivariana de)",venezolano/-na,venezolano,
Vietnam,Vietnam,vietnamita,,vietnamita
Wales,Gales,galés/-sa,galés,
Yemen,Yemen,yemení,,yemení
Zambia,Zambia,zambiano/-na,zambiano,
Zimbabwe,Zimbabue,zimbabuense,,zimbabuense
